periode,harga
Jan-16,26600
Feb-16,16050
Mar-16,36050
Apr-16,15000
May-16,14650
Jun-16,15650
Jul-16,32750
Aug-16,36350
Sep-16,21350
Oct-16,28200
Nov-16,42750
Dec-16,51500
Jan-17,90350
Feb-17,110350
Mar-17,74400
Apr-17,40250
May-17,42850
Jun-17,25150
Jul-17,26750
Aug-17,14450
Sep-17,9750
Oct-17,12350
Nov-17,17200
Dec-17,23250
Jan-18,33750
Feb-18,25000
Mar-18,47000
Apr-18,23200
May-18,18400
Jun-18,24650
Jul-18,39450
Aug-18,27000
Sep-18,14000
Oct-18,20500
Nov-18,19050
Dec-18,22050
Jan-19,33750
Feb-19,25000
Mar-19,47000
Apr-19,23200
May-19,18400
Jun-19,24650
Jul-19,39450
Aug-19,27000
Sep-19,14000
Oct-19,20500
Nov-19,19050
Dec-19,22050
Jan-20,61150
Feb-20,42300
Mar-20,34200
Apr-20,26300
May-20,14300
Jun-20,13550
Jul-20,15450
Aug-20,12050
Sep-20,12950
Oct-20,14650
Nov-20,26950
Dec-20,42650
Jan-21,65250
Feb-21,70750
Mar-21,82950
Apr-21,45000
May-21,35150
Jun-21,28850
Jul-21,39800
Aug-21,15300
Sep-21,13500
Oct-21,19900
Nov-21,20000
Dec-21,60750
Jan-22,30900
Feb-22,30700
Mar-22,38750
Apr-22,21700
May-22,35950
Jun-22,76150
Jul-22,60800
Aug-22,36750
Sep-22,47400
Oct-22,35750
Nov-22,26150
Dec-22,34700
Jan-23,44950
Feb-23,50000
Mar-23,57000
Apr-23,22300
May-23,26000
Jun-23,27050
Jul-23,21600
Aug-23,31150
Sep-23,23450
Oct-23,45550
Nov-23,76500
Dec-23,79500
